Day,Hour,Latency,Jitter,Download,Upload,Packet Loss
Thu,11:00,54.65,19.37,4.89,0.94,0.25
Thu,12:00,59.74,19.37,5.36,1.55,0.33
Thu,13:00,54.2,19.63,5.21,1.56,0.06
Thu,14:00,48.3,17.01,4.53,1.74,0.0
Thu,15:00,53.12,24.22,6.24,2.29,0.5
Thu,16:00,47.69,18.17,4.82,2.41,0.19
Thu,17:00,43.89,29.44,5.46,1.63,0.53
Thu,18:00,50.85,21.17,5.44,2.25,1.79
Thu,19:00,63.71,18.85,4.25,1.86,0.91
Thu,20:00,52.48,24.96,5.28,1.07,0.02
Thu,21:00,60.7,13.22,3.65,0.65,0.25
Thu,22:00,68.62,23.9,4.66,1.39,0.0
Thu,23:00,51.02,25.04,4.3,2.72,0.22
Tue,00:00,44.08,20.6,9.84,4.53,0.03
Tue,01:00,45.65,19.37,13.07,5.06,3.0
Tue,02:00,43.48,21.19,18.35,5.44,0.17
Tue,03:00,42.84,23.43,18.15,5.11,0.38
Tue,04:00,,,,,
Tue,05:00,,,,,
Tue,06:00,,,,,
Tue,07:00,,,,,
Tue,08:00,,,,,
Tue,09:00,71.81,20.5,4.47,1.31,0.37
Tue,10:00,79.5,18.47,5.74,1.63,0.59
Tue,11:00,58.42,16.5,7.04,3.13,0.02
Tue,12:00,58.57,17.05,6.23,2.76,0.17
Tue,13:00,64.26,23.92,4.78,1.65,0.36
Tue,14:00,55.91,19.03,7.2,1.41,
Tue,15:00,71.02,18.44,7.48,1.31,0.09
Tue,16:00,59.8,15.35,5.3,1.31,0.07
Tue,17:00,77.8,27.73,5.21,1.61,1.27
Tue,18:00,72.55,21.61,4.27,1.83,0.4
Tue,19:00,60.9,16.34,3.55,1.59,0.79
Tue,20:00,58.12,20.55,5.92,1.76,1.47
Tue,21:00,56.1,18.09,3.44,1.28,0.05
Tue,22:00,59.21,19.8,2.35,1.73,0.16
Tue,23:00,46.2,19.72,3.1,2.88,0.02
Wed,00:00,45.02,23.49,7.07,4.19,0.0
Wed,01:00,41.98,19.8,11.96,4.77,0.35
Wed,02:00,55.08,17.05,15.0,5.03,1.28
Wed,03:00,41.69,19.53,19.28,5.06,0.23
Wed,04:00,,,,,
Wed,05:00,,,,,
Wed,06:00,,,,,
Wed,07:00,,,,,
Wed,08:00,67.48,56.17,3.1,1.67,
Wed,09:00,55.25,27.04,5.9,2.25,0.61
Wed,10:00,53.74,28.18,6.15,1.95,0.39
Wed,11:00,46.14,23.2,5.97,2.2,0.02
Wed,12:00,42.64,20.98,7.45,2.44,0.96
Wed,13:00,50.06,24.68,6.23,2.38,0.49
Wed,14:00,51.51,17.94,6.74,1.17,0.11
Wed,15:00,65.84,38.19,6.69,1.15,0.54
Wed,16:00,56.49,22.78,6.34,2.29,0.32
Wed,17:00,50.6,18.74,7.82,2.09,0.45
Wed,18:00,55.13,22.45,5.05,1.36,1.47
Wed,19:00,48.64,20.67,5.24,1.78,0.3
Wed,20:00,58.53,30.98,3.51,0.78,1.18
Wed,21:00,67.44,31.54,2.66,0.94,1.33
Wed,22:00,63.96,14.92,2.01,1.23,0.41
Wed,23:00,42.38,26.12,4.15,2.49,0.13
