,Server,Latency,Jitter,Download,Upload,Packet Loss
Tue Jun 22 15:18:01,Airconnect Fibernet - Chennai,55.55,11.59,6.26,2.32,0.3
Tue Jun 22 15:20:01,Airtel Broadband - Chennai,40.03,9.00,5.37,1.38,
Tue Jun 22 15:22:01,Airgenie - Chennai,54.30,15.23,2.33,1.34,
Tue Jun 22 15:24:01,Airtel Broadband - Chennai,54.83,6.96,7.82,1.52,
Tue Jun 22 15:26:01,Jio - Chennai,75.88,6.95,6.71,1.21,
Tue Jun 22 15:28:01,Airconnect Fibernet - Chennai,150.23,8.47,9.36,1.78,0.7
Tue Jun 22 15:30:01,Jio - Chennai,55.31,11.81,9.40,1.73,
Tue Jun 22 15:32:01,Airtel Broadband - Chennai,58.55,7.69,6.98,1.20,
Tue Jun 22 15:34:01,Sri Vari Network Private Limited - Chennai,72.83,6.66,7.21,1.09,
Tue Jun 22 15:36:02,TataSky Broadband Private Limited - Chennai,78.48,5.68,6.78,0.78,0.0
Tue Jun 22 15:38:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,43.19,33.91,8.58,0.85,
Tue Jun 22 15:40:01,Vi India - Chennai,158.70,4.31,8.05,0.40,0.0
Tue Jun 22 15:42:01,TataSky Broadband Private Limited - Chennai,41.82,18.39,9.85,1.27,0.0
Tue Jun 22 15:44:01,Arjuntelecom - Chennai,77.10,1.88,8.94,1.12,0.0
Tue Jun 22 15:46:01,Sri Vari Network Private Limited - Chennai,69.67,10.43,10.77,1.07,
Tue Jun 22 15:48:01,Airgenie - Chennai,40.10,29.67,7.14,1.03,
Tue Jun 22 15:50:01,ACT Fibernet - Chennai,75.97,4.62,10.87,1.32,0.0
Tue Jun 22 15:52:01,Airtel Broadband - Chennai,40.97,20.11,7.95,0.98,
Tue Jun 22 15:54:01,Jio - Chennai,70.47,10.53,7.39,1.09,
Tue Jun 22 15:56:01,Shyam Spectra - Chennai,44.24,16.75,8.17,1.37,0.0
Tue Jun 22 15:58:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,78.67,0.96,9.88,1.31,
Tue Jun 22 16:00:01,Arjuntelecom - Chennai,43.06,25.50,4.88,1.37,0.0
Tue Jun 22 16:02:01,Jio - Chennai,57.99,10.07,6.83,0.96,
Tue Jun 22 16:04:01,Airgenie - Chennai,72.89,9.34,5.27,1.44,
Tue Jun 22 16:06:01,Jio - Chennai,77.43,1.79,5.38,1.03,
Tue Jun 22 16:08:01,Airtel Broadband - Chennai,152.11,7.74,2.07,1.26,
Tue Jun 22 16:10:01,Airgenie - Chennai,40.57,17.50,7.35,0.96,
Tue Jun 22 16:12:01,Sri Vari Network Private Limited - Chennai,42.06,22.09,5.62,2.16,
Tue Jun 22 16:14:01,ACT Fibernet - Chennai,42.81,21.54,4.37,1.55,0.0
Tue Jun 22 16:16:01,Shyam Spectra - Chennai,41.46,23.93,2.35,2.40,0.0
Tue Jun 22 16:18:01,Jio - Chennai,43.26,26.10,1.82,1.90,
